BatchID;Strasse;Gesamtmenge Wirkstoff in kg;pH - Wert nach beendeter Regelung;Füllstand B4210 nach pH - Wert - Einstellung in L;Füllstand B4220 nach Transfer Lösung in L;pH - Wert nach beendeter Regelung Zitratpuffer;B4210 Standzeit Gereinigt in h;Druck während Isolierung in bar;Waschvolumen Zitratpuffer in L/kg;Netto Masse Kristallisat ohne GWP in g;Brutto Masse Kristallisat A4920/21/28 mit GWP in g;Netto Masse Kristallisat A4920/21/28  mit GWP in g;Füllstand B4210 vor Spülung in L;Füllstand B4210 nach Spülung in L;Füllstand B4210 nach Zitratwäsche in L;eingesetztes Waschvolumen Zitratpuffer in L;F4300 Standzeit sterilisiert in h;Trypsin Klasse;Füllstand B4220 nach pH - Wert - Einstellung in L;pH - Wert B4220 Start Kristallisation;pH - Wert B4220 Ende Kristallisation;Temperatur B4220 Start Kristallisation in °C;Temperatur B4220 Ende Kristallisation in °C;Mittelwert UV - Kurve;Rührerdrehzahl B4220 in U/min;Füllstand B4220 Ende Kristallisation in L;Filtrationsverhalten;pH-Wert Regelung Dauer [min];pH-Wert Regelung Dauer [min/kg];Dauer Lösen [min];Dauer Lösen [min/kg];Dauer bis Kristallisation einsetzt [min];Dauer bis Kristallisation einsetzt [min/kg];Kristallisation Dauer [min];Kristallisation Dauer [min/kg];Verweildauer kristallisiert bis Start Abtrennung [min];Verweildauer kristallisiert bis Start Abtrennung [min/kg];Abtrenndauer ohne Nachwaschen [min];Abtrenndauer ohne Nachwaschen [min/kg];Waschdauer mit Zitratpuffer [min];Waschdauer mit Zitratpuffer [min/kg];Gesamtdauer Start Lösen - Ende Waschen [min];Gesamtdauer Start Lösen - Ende Waschen [min/kg];ZnCl2 Konzentration [mM/L];NaCl Konzentration [mM/L];CTS Konzentration [mM/L];Ammoniumsulfat Konzentrazion [mM/L];Propanol-Konzentration in %;Produktüberführen Dauer [min];Produktüberführen Dauer [min/kg];Gesamte Abtrenndauer [min];Gesamte Abtrenndauer [min/kg]
GP220706B02;B;18,0;3,03;1345,0;1320,0;6,17;42,0;0,93;20,5;37729,0;57431,0;47265,0;482,0;423,0;55,0;368,0;53,0;Trypsin 4.0;1385,0;6,16;5,99;26,0;25,9;99,0;51,0;1382,0;167,0;32;1,78;198;11,0;16;0,89;1187;65,94;3;0,17;89;4,94;138;7,67;1663;92,39;2,89;6,53;4,98;9,59;6,18;0;0,0;227;12,61
GP220706C03;C;13,6;3,02;1036,0;1038,0;6,22;43,0;0,91;20,5;26656,0;45805,0;35671,0;423,0;364,0;86,0;278,0;51,0;Trypsin 4.0;1092,0;6,15;5,98;26,1;25,9;86,0;50,5;1096,0;166,5;23;1,69;184;13,53;21;1,54;1206;88,68;4;0,29;53;3,9;116;8,53;1607;118,16;2,74;6,23;4,75;9,14;5,92;0;0,0;169;12,43
GP220707A01;A;18,1;3,04;1354,0;1360,0;6,19;19,0;0,93;20,4;36873,0;57745,0;47584,0;491,0;434,0;64,0;370,0;31,0;Trypsin 4.0;1432,0;6,16;5,99;26,0;25,9;77,0;50,0;1431,0;61,25;27;1,49;210;11,6;10;0,55;1202;66,41;3;0,17;100;5,52;145;8,01;1697;93,76;2,8;6,35;4,84;9,3;5,98;0;0,0;245;13,54
GP220707B02;B;18,2;3,03;1357,0;1338,0;6,21;36,0;0,93;20,4;38038,0;57998,0;47864,0;487,0;430,0;59,0;371,0;48,0;Trypsin 4.0;1406,0;6,15;5,97;26,1;25,9;98,0;50,5;1403,0;102,5;27;1,48;204;11,21;13;0,71;1194;65,6;3;0,16;93;5,11;143;7,86;1677;92,14;2,87;6,49;4,97;9,54;6,15;0;0,0;236;12,97
GP220707C03;C;13,6;3,02;1034,0;1047,0;6,18;36,0;0,91;20,5;27127,0;45910,0;35743,0;422,0;364,0;85,0;279,0;47,0;Trypsin 4.0;1100,0;6,15;6,01;26,0;25,9;85,0;50,0;1105,0;146,5;24;1,76;165;12,13;13;0,96;1214;89,26;3;0,22;52;3,82;113;8,31;1584;116,47;2,71;6,19;4,72;9,05;5,88;0;0,0;165;12,13
GP220708A01;A;13,5;3,04;1029,0;1021,0;6,19;17,0;0,94;20,7;27176,0;45679,0;35513,0;403,0;344,0;64,0;279,0;26,0;Trypsin 4.0;1100,0;6,16;6,05;25,9;26,1;81,0;50,0;1100,0;123,5;36;2,67;159;11,78;19;1,41;1230;91,11;4;0,3;56;4,15;127;9,41;1631;120,81;2,71;6,16;4,69;9,03;5,82;0;0,0;183;13,56
GP220708B02;B;17,6;3,04;1324,0;1294,0;6,17;18,0;0,94;20,4;36495,0;56408,0;46275,0;470,0;411,0;52,0;360,0;29,0;Trypsin 4.0;1369,0;6,17;6,01;26,1;26,0;98,0;50,5;1365,0;;45;2,56;231;13,12;7;0,4;1238;70,34;4;0,23;86;4,89;139;7,9;1750;99,43;2,86;6,46;4,94;9,49;6,12;0;0,0;225;12,78
GP220708C03;C;17,9;3,03;1359,0;1360,0;6,18;19,0;0,95;20,4;36079,0;57140,0;47097,0;500,0;442,0;77,0;365,0;26,0;Trypsin 4.0;1423,0;6,17;6,04;26,1;26,1;79,0;50,0;1431,0;;54;3,02;177;9,89;11;0,61;1133;63,3;3;0,17;89;4,97;148;8,27;1615;90,22;2,76;6,25;4,79;9,2;5,92;0;0,0;237;13,24
GP220709A01;A;17,9;3,03;1351,0;1345,0;6,21;19,0;0,94;20,4;35965,0;57247,0;47078,0;487,0;429,0;63,0;366,0;32,0;Trypsin 4.0;1423,0;6,16;6,03;25,9;25,9;76,0;50,0;1425,0;71,0;38;2,12;225;12,57;8;0,45;1183;66,09;3;0,17;91;5,08;157;8,77;1705;95,25;2,78;6,28;4,81;9,24;5,94;0;0,0;248;13,85
GP220709B02;B;17,9;3,04;1341,0;1304,0;6,18;26,0;0,94;20,4;36114,0;57248,0;47088,0;482,0;424,0;59,0;365,0;36,0;Trypsin 4.0;1375,0;6,16;6,02;26,1;26,0;98,0;51,0;1367,0;93,0;36;2,01;238;13,3;14;0,78;1160;64,8;3;0,17;90;5,03;139;7,77;1680;93,85;2,89;6,55;5,01;9,64;6,18;0;0,0;229;12,79
